degree,x,exact,approx
1,-0.451451,0.164063,0.0384615
1,-0.449449,0.165286,0.0384615
1,-0.447447,0.166522,0.0384615
1,-0.445445,0.16777,0.0384615
1,-0.443443,0.169032,0.0384615
1,-0.441441,0.170307,0.0384615
1,-0.439439,0.171595,0.0384615
1,-0.437437,0.172897,0.0384615
1,-0.435435,0.174213,0.0384615
1,-0.433433,0.175543,0.0384615
1,-0.431431,0.176887,0.0384615
1,-0.429429,0.178245,0.0384615
1,-0.427427,0.179619,0.0384615
1,-0.425425,0.181006,0.0384615
1,-0.423423,0.182409,0.0384615
1,-0.421421,0.183827,0.0384615
1,-0.419419,0.18526,0.0384615
1,-0.417417,0.186709,0.0384615
1,-0.415415,0.188173,0.0384615
1,-0.413413,0.189654,0.0384615
1,-0.411411,0.19115,0.0384615
1,-0.409409,0.192663,0.0384615
1,-0.407407,0.194193,0.0384615
1,-0.405405,0.195739,0.0384615
1,-0.403403,0.197303,0.0384615
1,-0.401401,0.198883,0.0384615
1,-0.399399,0.200481,0.0384615
1,-0.397397,0.202097,0.0384615
1,-0.395395,0.203731,0.0384615
1,-0.393393,0.205383,0.0384615
1,-0.391391,0.207053,0.0384615
1,-0.389389,0.208742,0.0384615
1,-0.387387,0.21045,0.0384615
1,-0.385385,0.212177,0.0384615
1,-0.383383,0.213923,0.0384615
1,-0.381381,0.21569,0.0384615
1,-0.379379,0.217476,0.0384615
1,-0.377377,0.219282,0.0384615
1,-0.375375,0.221108,0.0384615
1,-0.373373,0.222956,0.0384615
1,-0.371371,0.224824,0.0384615
1,-0.369369,0.226714,0.0384615
1,-0.367367,0.228625,0.0384615
1,-0.365365,0.230558,0.0384615
1,-0.363363,0.232514,0.0384615
1,-0.361361,0.234491,0.0384615
1,-0.359359,0.236492,0.0384615
1,-0.357357,0.238515,0.0384615
1,-0.355355,0.240562,0.0384615
1,-0.353353,0.242632,0.0384615
1,-0.351351,0.244726,0.0384615
1,-0.349349,0.246845,0.0384615
1,-0.347347,0.248988,0.0384615
1,-0.345345,0.251156,0.0384615
1,-0.343343,0.25335,0.0384615
1,-0.341341,0.255568,0.0384615
1,-0.339339,0.257813,0.0384615
1,-0.337337,0.260084,0.0384615
1,-0.335335,0.262381,0.0384615
1,-0.333333,0.264706,0.0384615
1,-0.331331,0.267058,0.0384615
1,-0.329329,0.269437,0.0384615
1,-0.327327,0.271844,0.0384615
1,-0.325325,0.27428,0.0384615
1,-0.323323,0.276744,0.0384615
1,-0.321321,0.279237,0.0384615
1,-0.319319,0.28176,0.0384615
1,-0.317317,0.284312,0.0384615
1,-0.315315,0.286895,0.0384615
1,-0.313313,0.289508,0.0384615
1,-0.311311,0.292153,0.0384615
1,-0.309309,0.294828,0.0384615
1,-0.307307,0.297535,0.0384615
1,-0.305305,0.300275,0.0384615
1,-0.303303,0.303047,0.0384615
1,-0.301301,0.305851,0.0384615
1,-0.299299,0.308689,0.0384615
1,-0.297297,0.311561,0.0384615
1,-0.295295,0.314467,0.0384615
1,-0.293293,0.317408,0.0384615
1,-0.291291,0.320383,0.0384615
1,-0.289289,0.323394,0.0384615
1,-0.287287,0.32644,0.0384615
1,-0.285285,0.329523,0.0384615
1,-0.283283,0.332642,0.0384615
1,-0.281281,0.335798,0.0384615
1,-0.279279,0.338992,0.0384615
1,-0.277277,0.342223,0.0384615
1,-0.275275,0.345493,0.0384615
1,-0.273273,0.348802,0.0384615
1,-0.271271,0.35215,0.0384615
1,-0.269269,0.355537,0.0384615
1,-0.267267,0.358964,0.0384615
1,-0.265265,0.362432,0.0384615
1,-0.263263,0.36594,0.0384615
1,-0.261261,0.36949,0.0384615
1,-0.259259,0.373081,0.0384615
1,-0.257257,0.376714,0.0384615
1,-0.255255,0.38039,0.0384615
1,-0.253253,0.384109,0.0384615
1,-0.251251,0.387871,0.0384615
1,-0.249249,0.391676,0.0384615
1,-0.247247,0.395526,0.0384615
1,-0.245245,0.39942,0.0384615
1,-0.243243,0.403359,0.0384615
1,-0.241241,0.407343,0.0384615
1,-0.239239,0.411373,0.0384615
1,-0.237237,0.415448,0.0384615
1,-0.235235,0.41957,0.0384615
1,-0.233233,0.423739,0.0384615
1,-0.231231,0.427954,0.0384615
1,-0.229229,0.432217,0.0384615
1,-0.227227,0.436528,0.0384615
1,-0.225225,0.440886,0.0384615
1,-0.223223,0.445292,0.0384615
1,-0.221221,0.449747,0.0384615
1,-0.219219,0.454251,0.0384615
1,-0.217217,0.458803,0.0384615
1,-0.215215,0.463405,0.0384615
1,-0.213213,0.468056,0.0384615
1,-0.211211,0.472756,0.0384615
1,-0.209209,0.477506,0.0384615
1,-0.207207,0.482306,0.0384615
1,-0.205205,0.487156,0.0384615
1,-0.203203,0.492056,0.0384615
1,-0.201201,0.497006,0.0384615
1,-0.199199,0.502006,0.0384615
1,-0.197197,0.507056,0.0384615
1,-0.195195,0.512156,0.0384615
1,-0.193193,0.517306,0.0384615
1,-0.191191,0.522506,0.0384615
1,-0.189189,0.527756,0.0384615
1,-0.187187,0.533056,0.0384615
1,-0.185185,0.538405,0.0384615
1,-0.183183,0.543803,0.0384615
1,-0.181181,0.54925,0.0384615
1,-0.179179,0.554745,0.0384615
1,-0.177177,0.560289,0.0384615
1,-0.175175,0.56588,0.0384615
1,-0.173173,0.571519,0.0384615
1,-0.171171,0.577204,0.0384615
1,-0.169169,0.582936,0.0384615
1,-0.167167,0.588713,0.0384615
1,-0.165165,0.594534,0.0384615
1,-0.163163,0.6004,0.0384615
1,-0.161161,0.606309,0.0384615
1,-0.159159,0.612261,0.0384615
1,-0.157157,0.618254,0.0384615
1,-0.155155,0.624287,0.0384615
1,-0.153153,0.630359,0.0384615
1,-0.151151,0.63647,0.0384615
1,-0.149149,0.642617,0.0384615
1,-0.147147,0.6488,0.0384615
1,-0.145145,0.655017,0.0384615
1,-0.143143,0.661267,0.0384615
1,-0.141141,0.667548,0.0384615
1,-0.139139,0.673858,0.0384615
1,-0.137137,0.680196,0.0384615
1,-0.135135,0.68656,0.0384615
1,-0.133133,0.692947,0.0384615
1,-0.131131,0.699357,0.0384615
1,-0.129129,0.705787,0.0384615
1,-0.127127,0.712234,0.0384615
1,-0.125125,0.718697,0.0384615
1,-0.123123,0.725172,0.0384615
1,-0.121121,0.731658,0.0384615
1,-0.119119,0.738152,0.0384615
1,-0.117117,0.744651,0.0384615
1,-0.115115,0.751153,0.0384615
1,-0.113113,0.757654,0.0384615
1,-0.111111,0.764151,0.0384615
1,-0.109109,0.770642,0.0384615
1,-0.107107,0.777123,0.0384615
1,-0.105105,0.78359,0.0384615
1,-0.103103,0.790042,0.0384615
1,-0.101101,0.796473,0.0384615
1,-0.0990991,0.80288,0.0384615
1,-0.0970971,0.80926,0.0384615
1,-0.0950951,0.81561,0.0384615
1,-0.0930931,0.821924,0.0384615
1,-0.0910911,0.828199,0.0384615
1,-0.0890891,0.834431,0.0384615
1,-0.0870871,0.840616,0.0384615
1,-0.0850851,0.84675,0.0384615
1,-0.0830831,0.852828,0.0384615
1,-0.0810811,0.858846,0.0384615
1,-0.0790791,0.864799,0.0384615
1,-0.0770771,0.870684,0.0384615
1,-0.0750751,0.876496,0.0384615
1,-0.0730731,0.88223,0.0384615
1,-0.0710711,0.887881,0.0384615
1,-0.0690691,0.893445,0.0384615
1,-0.0670671,0.898917,0.0384615
1,-0.0650651,0.904293,0.0384615
1,-0.0630631,0.909567,0.0384615
1,-0.0610611,0.914736,0.0384615
1,-0.0590591,0.919795,0.0384615
1,-0.0570571,0.924738,0.0384615
1,-0.0550551,0.929561,0.0384615
1,-0.0530531,0.93426,0.0384615
1,-0.0510511,0.93883,0.0384615
1,-0.049049,0.943267,0.0384615
1,-0.047047,0.947566,0.0384615
1,-0.045045,0.951723,0.0384615
1,-0.043043,0.955733,0.0384615
1,-0.041041,0.959592,0.0384615
1,-0.039039,0.963297,0.0384615
1,-0.037037,0.966844,0.0384615
1,-0.035035,0.970227,0.0384615
1,-0.033033,0.973445,0.0384615
1,-0.031031,0.976493,0.0384615
1,-0.029029,0.979368,0.0384615
1,-0.027027,0.982066,0.0384615
1,-0.025025,0.984585,0.0384615
1,-0.023023,0.986922,0.0384615
1,-0.021021,0.989074,0.0384615
1,-0.019019,0.991038,0.0384615
1,-0.017017,0.992813,0.0384615
1,-0.015015,0.994395,0.0384615
1,-0.013013,0.995784,0.0384615
1,-0.011011,0.996978,0.0384615
